Reference,Account Number,Description,Start Balance,Mutation,End Balance
178407,NL46ABNA0625805417,Tickets from Daniël King,83.02,+6.66,89.68
112806,NL74ABNA0248990274,Subscription from Willem King,30.53,+13.45,43.98
195727,NL69ABNA0433647324,Clothes for Vincent Theuß,25.17,+4.8,29.97
145319,NL74ABNA0248990274,Subscription for Peter King,23.97,+0.37,24.34
112806,NL91RABO0315273637,Tickets for Jan Bakker,75.38,-42.58,32.8
112806,NL27SNSB0917829871,Clothes from Daniël de Vries,10.78,+9.85,20.63
128470,NL43AEGO0773393871,Flowers from Daniël Bakker,47,+47.92,94.92
133155,NL93ABNA0585619023,Tickets from Vincent King,59.63,-9.65,49.98
101536,NL69ABNA0433647324,Subscription from Peter Theuß,106.71,-14.22,92.49
163583,NL90ABNA0585647886,Clothes for Richard de Vries,77.5,+41.92,119.42
